title,price,description,esrb_rating,genre,manufacturer,platform,release_date,weight,stock
.Hack // Gu Last Recode   PlayStation 4 PS4,29.99,,Teen,RPG,NAMCOBANDA,PS4,03-Nov-17,0.1750 lbs,35
11 11 Memories Retold (EU Import)   PlayStation 4 PS4,24.99,"BRAND NEW and SEALED Sony Playstation 4 Game.
Note: Can be played on the Sony Playstation 4.",Mature,ADVENTURE,NAMCOEU,PS4,09-Nov-18,0.1850 lbs,33
13 Sentinels Aegis Rim   PlayStation 4 PS4,79.99,,Teen,ADVENTURE,SEGA,PS4,22-Sep-20,0.3600 lbs,1
1971 Project Helios   PlayStation 4 PS4,29.99,"BRAND NEW and SEALED Sony Playstation 4 Game.
Note: Can be played on the Sony Playstation 4 Only.",Teen,STRATEGY,GAME S2,PS4,31-Aug-22,0.1750 lbs,47
7 Days to Die   PlayStation 4 PS4,59.99,,Mature,HORROR,TELLTALE,PS4,28-Jun-16,8.60003E+11,18
88 Heroes   PlayStation 4 PS4,29.99,,Everyone_10_Plus,ACTION,RISINGSTAR,PS4,28-Mar-17,0.1700 lbs,22
8Doors Arums Afterlife Adventure   PlayStation 4 PS4,39.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Everyone_10_Plus,ACTION,REDART,PS4,28-Apr-23,0.2050 lbs,33
9th Dawn III 3 (Limited Run Games)   PlayStation 4 PS4,54.99,9th Dawn III is on a region-free physical disc for the Playstation 4. Also works on the Playstation 5.,,,,,,,8
A Boy and His Blob (Limited Run Games)   PlayStation 4 PS4,54.99,A Boy and His Blob is on a region-free physical disc for the Playstation 4. Also works on the Playstation 5.,Everyone,PLATFORMER,LRGAMES,PS4,13-May-22,0.1800 lbs,16
A Boy and His Blob Collectors Edition (Limited Run Games)   PlayStation 4 PS4,94.99,A Boy and His Blob is on a region-free physical disc for the Playstation 4. Also works on the Playstation 5.,Everyone,PLATFORMER,LRGAMES,PS4,13-May-22,0.5000 lbs,9
Absolver (Special Reserve Games) Discontinued   PlayStation 4 PS4,39.99,The ABSOLVER PlayStation 4 Single features:,Teen,ACTION,SPECIALRG,PS4,31-Dec-19,0.1750 lbs,23
Accel World Vs Sword Art Online (UK)   PlayStation 4 PS4,59.99,,Teen,RPG,NAMCOBANDA,PS4,3.39189E+12,,31
Accounting Plus Collectors Edition (PSVR) (LRG)   PlayStation 4 PS4,119.99,GET OUT OF MY DESCRIPTION WORLD! GET OUTTA HERE! THIS ISN?T THE ACCOUNTING+ DESCRIPTION PAGE! THIS IS MY HOME! THIS IS MY DESCRIPTION WORLD! YOU NEED A PS VR TO PLAY!,Mature,SIMULATION,LRGAMES,PS4,26-Jun-19,0.9100 lbs,25
Adventure Academia the Fractured Continent   PlayStation 4 PS4,49.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Everyone,RPG,PQUBE,PS4,09-Dec-22,0.1700 lbs,21
Adventure Time Pirates of Enchiridion   PlayStation 4 PS4,29.99,,Everyone_10_Plus,OPENWORLD,U&I ENTMNT,PS4,17-Jul-18,8.19338E+11,50
Aegis Defenders (Limited Run Games)   PlayStation 4 PS4,54.99,"Aegis Defenders is on a region-free physical disc for the Playstation 4Genre: Action, Adventure, Role Playing Games",Everyone_10_Plus,RPG,LRGAMES,PS4,10-May-19,0.2000 lbs,19
Aegis of Earth Protonovus Assault (Factory Sealed)   PlayStation 4 PS4,49.99,,,,,,,,49
After the Fall Frontrunner Edition   PlayStation 4 PS4,29.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Mature,FPS,KOCH,PS4,12-Apr-22,0.1700 lbs,7
Afterparty (Limited Run Games)   PlayStation 4 PS4,55.99,Afterparty is on a region-free physical disc for the Playstation 4,Mature,ADVENTURE,LRGAMES,PS4,29-Jan-21,0.2750 lbs,29
Agents of Mayhem M.A.Y.H.E.M. Day One   PlayStation 4 PS4,29.99,,Mature,ACTION,SQUAREENIX,PS4,15-Aug-17,8.16819E+11,12
Ai the Somnium Files Nirvana Initiative Collectors Edition   PlayStation 4 PS4,159.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Mature,ADVENTURE,SPIKECHUNS,PS4,24-Jun-22,1.3650 lbs,28
Air Conflicts Double Pack   PlayStation 4 PS4,29.99,,Teen,SIMULATION,KALYPSO,PS4,20-Sep-16,0.2500 lbs,16
Air Conflicts Pacific Carriers   PlayStation 4 PS4,29.99,"Air Conflicts: Pacific Carriers combines authentic Second World War settings and a fictitious story that will lead the player through the Arcade-Flight-Action. The starting point for all the flight missions in the campaign is an aircraft carrier in the Pacific, which the player commands as the captain of the ship.",Teen,SIMULATION,KALYPSO,PS4,03-Nov-15,0.2300 lbs,1
Airheart Tales of Broken Wings (Limited Run Games)   PlayStation 4 PS4,49.99,Airheart is on a region-free physical disc for the Playstation 4,Everyone_10_Plus,RPG,LRGAMES,PS4,07-Jun-19,0.2750 lbs,17
Alex Kidd in Miracle World Dx   PlayStation 4 PS4,39.99,"BRAND NEW and SEALED Sony Playstation 4 Game.
Note: Can be played on the Sony Playstation 4.",Everyone,PLATFORMER,MERGE,PS4,29-Jun-21,0.2700 lbs,34
Alice Gear Aegis Cs Concerto of Simulatrix   PlayStation 4 PS4,54.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Teen,FIGHTING,PQUBE,PS4,16-Mar-23,0.1750 lbs,5
Aliens Dark Descent   PlayStation 4 PS4,49.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Mature,ACTION,MAXIMUM,PS4,20-Jun-23,0.1800 lbs,39
Aliens Fireteam Elite   PlayStation 4 PS4,39.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Mature,RPG,COLDIRON,PS4,24-Aug-21,8.84095E+11,16
Alone With You Collectors Edition (Limited Run Games)   PlayStation 4 PS4,69.99,From the creator of indie horror hit Home comes Alone With You ? a bittersweet sci-fi adventure game that goes right for the heart.,Everyone_10_Plus,ADVENTURE,LRGAMES,PS4,19-Apr-19,0.7350 lbs,27
Alphadia Genesis (Limited Run Games)   PlayStation 4 PS4,49.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Teen,RPG,LRGAMES,PS4,23-Jul-21,0.1750 lbs,6
Alphadia Genesis 2 (Limited Run Games)   PlayStation 4 PS4,49.99,Alphadia Genesis is on a region-free physical disc for the Playstation 4. Also works on the Playstation 5.,Teen,RPG,LRGAMES,PS4,01-Apr-22,0.1750 lbs,36
Alwas Collection Limited Edition (Limited Run Games)   PlayStation 4 PS4,114.99,Includes a physical copy of the game and the following:,Everyone,ADVENTURE,LRGAMES,PS4,14-Sep-21,2.2800 lbs,2
Alwas Collection Standard Edition   PlayStation 4 PS4,39.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Everyone,ACT/AD,CRGAMES,PS4,14-Dec-21,0.2000 lbs,8
Always Sometimes Monsters (Limited Run Games)   PlayStation 4 PS4,54.99,Always Sometimes Monsters is on a region-free physical disc for the Playstation 4. Also works on the Playstation 5.,Mature,HORROR,LRGAMES,PS4,12-Nov-21,0.1800 lbs,22
American Hero (Limited Run Games)   PlayStation 4 PS4,54.99,American Hero is on a region-free physical disc for the Playstation 4. Also works on the Playstation 5.,,,,,,,16
American Hero Collectors Edition (Limited Run Games)   PlayStation 4 PS4,94.99,American Hero is on a region-free physical disc for the Playstation 4. Also works on the Playstation 5.,Mature,ADVENTURE,LRGAMES,PS4,03-Jun-22,0.4750 lbs,8
American Ninja Warrior   PlayStation 4 PS4,39.99,"BRAND NEW and SEALED Sony Playstation 4 Game.
Note: Can be played on the Sony Playstation 4 Only.",Everyone,ACT/AD,GAMEMILL,PS4,29-Mar-19,0.1750 lbs,38
Among Us Crewmate Edition   PlayStation 4 PS4,29.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Everyone_10_Plus,PARTY,MAXIMUM,PS4,21-Dec-21,0.3250 lbs,13
Angry Video Game Nerd 1 + 2 Deluxe (Limited Run Games)   PlayStation 4 PS4,54.99,Angry Video Game Nerd 1 & 2 Deluxe is on a region-free physical disc for the Playstation 4. Also works on the Playstation 5.,Mature,ACTION,LRGAMES,PS4,23-Nov-21,0.1750 lbs,15
Anno Mutationem (Limited Run Games)   PlayStation 4 PS4,59.99,ANNO: Mutationem is on a region-free physical disc for the Playstation 4. Also works on the Playstation 5.,Teen,RPG,LRGAMES,PS4,25-Mar-22,0.1650 lbs,9
Anno Mutationem Deluxe Edition (Limited Run Games)   PlayStation 4 PS4,94.99,ANNO: Mutationem is on a region-free physical disc for the Playstation 4. Also works on the Playstation 5.,Teen,RPG,LRGAMES,PS4,25-Mar-22,0.4550 lbs,28
Anonymous Code Steelbook Launch Edition   PlayStation 4 PS4,84.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Mature,VISUAL,SPIKECHUNS,PS4,08-Sep-23,0.5150 lbs,25
Another World 20th Anniversary Collectors Edition (Limited Run Games)   PlayStation 4 PS4,84.99,Another World is on a region-free physical disc for the Playstation 4.,Teen,ACT/AD,LRGAMES,PS4,28-Sep-18,0.9250 lbs,38
Anthem   PlayStation 4 PS4,,,Teen,RPG,EA,PS4,22-Feb-19,14633369960,26
Anthem Legion of Dawn Edition   PlayStation 4 PS4,24.99,,Teen,RPG,EA,PS4,22-Feb-19,14633739183,42
Apex Legends Bloodhound Edition   PlayStation 4 PS4,9.99,,Teen,FPS,EA,PS4,18-Oct-19,14633742770,40
Apex Legends Lifeline Edition   PlayStation 4 PS4,9.99,,Teen,FPS,EA,PS4,18-Oct-19,14633377552,28
Apollo Justice Ace Attorney Trilogy (JPIM) (Multi-Language)   PlayStation 4 PS4,69.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Rating Pending,ADVENTURE,CAPCOM,PS4,25-Jan-24,,35
